"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"126","Nr2f2","logFC","time_index",-0.821428571428571,0.95,-0.974269943748205,-0.151075277860105,102,0.0234488083456916,"Spearman",7
"127","Nr3c1","logFC","time_index",0.928571428571428,0.95,0.564194570714009,0.990201319002979,4.00000000000002,0.00251947240379473,"Spearman",7
"128","Nr4a1","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"129","Nr5a1","logFC","time_index",-0.392857142857143,0.95,-0.890456794776322,0.532608104928437,78,0.383316870426973,"Spearman",7
"130","Nr5a2","logFC","time_index",-0.285714285714286,0.95,-0.862454159724001,0.61383995094539,72,0.534509228601041,"Spearman",7
"131","Nrf1","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"132","Onecut1","logFC","time_index",0.214285714285714,0.95,-0.659141560072491,0.841593865259185,44,0.64451158102072,"Spearman",7
"133","Otx2","logFC","time_index",-0.607142857142857,0.95,-0.937055665492017,0.295488838713476,90,0.148231161481161,"Spearman",7
"134","Pax6","logFC","time_index",0.0357142857142857,0.95,-0.750117513846263,0.779730492307232,54,0.939408205471286,"Spearman",7
"135","Pax8","logFC","time_index",-0.571428571428571,0.95,-0.930027647796908,0.344607635816334,88,0.180201988911528,"Spearman",7
"136","Pbx2","logFC","time_index",0.25,0.95,-0.637256358189593,0.852263315160157,42,0.588724448089683,"Spearman",7
"137","Pbx3","logFC","time_index",0.107142857142857,0.95,-0.716977667906528,0.806351171716549,50,0.819150855569991,"Spearman",7
"138","Pdx1","logFC","time_index",0.392857142857143,0.95,-0.532608104928437,0.890456794776322,34,0.383316870426973,"Spearman",7
"139","Pgr","logFC","time_index",-0.25,0.95,-0.852263315160157,0.637256358189593,70,0.588724448089683,"Spearman",7
"140","Pknox1","logFC","time_index",-0.892857142857143,0.95,-0.985063318417604,-0.402716114518575,106,0.00680718740893541,"Spearman",7
